ID	M145	M146	M147	M149	M150	M151	M152	M153	M154	M155	M156	M158	M159	M160	M161	M162	M163	M164	M165	M166	M167	M168	M169	M170	M171	M172	M173	M174	M175	M176
Acetobacterium woodii	205	599	647	376	215	255	439	299	230	226	235	185	209	105	456	439	286	243	392	234	270	277	193	208	283	191	252	339	239	349
Acetohalobium arabaticum	55	85	102	51	17	83	147	127	108	119	109	22	10	20	52	114	38	68	77	29	16	23	58	24	44	31	57	50	28	51
Acetomicrobium mobile	54	98	129	139	122	72	76	122	60	100	85	135	128	90	105	37	68	26	82	22	48	41	26	23	18	20	24	24	33	57
Acholeplasma hippikon	68	120	120	63	28	75	86	44	40	18	38	32	22	1	187	158	149	119	90	96	83	117	89	83	118	82	64	132	80	166
Acholeplasma laidlawii	30	62	90	45	23	46	111	9	13	20	18	10	11	3	203	168	262	173	76	75	37	104	61	56	95	48	78	116	51	92
Achromobacter deleyi	75	396	154	356	390	218	197	152	133	184	203	276	276	228	72	107	62	71	147	88	135	98	30	45	58	45	68	51	75	94
Achromobacter denitrificans	164	323	105	252	259	190	96	118	87	110	82	146	136	109	63	43	30	32	167	74	54	54	26	27	25	29	71	39	60	84
Achromobacter insolitus	68	195	46	196	169	78	123	107	98	125	140	116	114	64	34	51	30	20	65	58	58	49	103	60	56	54	59	45	51	52
Achromobacter mucicolens	24	65	22	57	71	100	44	59	35	49	49	2	2	3	43	29	28	34	47	28	11	32	6	3	11	10	3	3	1	1
Achromobacter pestifer	48	71	150	63	82	106	28	38	21	18	29	22	18	11	53	43	60	40	52	31	16	38	13	16	20	17	23	16	17	20
Achromobacter phage JWF	0	0	1	0	2	1	0	2	0	0	2	4	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	3	1	0
Achromobacter ruhlandii	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	6	0	0	6	1	1	0	3	2	1	4	2
Achromobacter sp. 77	12	48	40	11	14	7	22	22	10	64	13	12	13	6	14	16	12	19	16	5	9	22	5	6	8	9	3	2	4	6
Achromobacter sp. AONIH1	56	334	87	155	105	76	78	60	42	22	26	82	86	68	20	24	19	22	70	22	41	25	11	19	34	21	58	25	17	34
